TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1000 passed = 207 failed = 793

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1    0       1000          0       1000          0 HLTriggerFirstPath
TrigReport     1    1       1000         76        924          0 MC_Ele5_WPLoose_Gsf_v8
TrigReport     1    2       1000         35        965          0 MC_DoubleEle5_CaloIdL_GsfTrkIdVL_MW_v6
TrigReport     1    3       1000         63        937          0 HLT_Ele25_WPTight_Gsf_v7
TrigReport     1    4       1000        195        805          0 HLT_Ele25_WPNone_Gsf_v1
TrigReport     1    5       1000          0       1000          0 HLTriggerFinalPath

TrigReport ---------- Modules in Path: HLT_Ele25_WPTight_Gsf_v7 ------------
TrigReport  Trig Bit#    Visited     Passed     Failed      Error Name
TrigReport     1    0       1000       1000          0          0 unpackEcal
TrigReport     1    1       1000       1000          0          0 unpackCSC
TrigReport     1    2       1000       1000          0          0 unpackDT
TrigReport     1    3       1000       1000          0          0 unpackRPC
TrigReport     1    4       1000       1000          0          0 unpackEmtf
TrigReport     1    5       1000       1000          0          0 unpackCsctf
TrigReport     1    6       1000       1000          0          0 unpackBmtf
TrigReport     1    7       1000       1000          0          0 simHcalTriggerPrimitiveDigis
TrigReport     1    8       1000       1000          0          0 simCaloStage2Layer1Digis
TrigReport     1    9       1000       1000          0          0 simCaloStage2Digis
TrigReport     1   10       1000       1000          0          0 simDtTriggerPrimitiveDigis
TrigReport     1   11       1000       1000          0          0 simCscTriggerPrimitiveDigis
TrigReport     1   12       1000       1000          0          0 simTwinMuxDigis
TrigReport     1   13       1000       1000          0          0 simBmtfDigis
TrigReport     1   14       1000       1000          0          0 simEmtfDigis
TrigReport     1   15       1000       1000          0          0 simOmtfDigis
TrigReport     1   16       1000       1000          0          0 simGmtCaloSumDigis
TrigReport     1   17       1000       1000          0          0 simGmtStage2Digis
TrigReport     1   18       1000       1000          0          0 simGtExtFakeStage2Digis
TrigReport     1   19       1000       1000          0          0 simGtStage2Digis
TrigReport     1   20       1000       1000          0          0 packCaloStage2
TrigReport     1   21       1000       1000          0          0 packGmtStage2
TrigReport     1   22       1000       1000          0          0 packGtStage2
TrigReport     1   23       1000       1000          0          0 rawDataCollector
TrigReport     1   24       1000       1000          0          0 hltTriggerType
TrigReport     1   25       1000       1000          0          0 hltGtStage2Digis
TrigReport     1   26       1000       1000          0          0 hltGtStage2ObjectMap
TrigReport     1   27       1000       1000          0          0 hltScalersRawToDigi
TrigReport     1   28       1000       1000          0          0 hltOnlineBeamSpot
TrigReport     1   29       1000        311        689          0 hltL1sSingleEGor
TrigReport     1   30        311        311          0          0 hltPreEle25WPTightGsf
TrigReport     1   31        311        311          0          0 hltEcalDigis
TrigReport     1   32        311        311          0          0 hltEcalPreshowerDigis
TrigReport     1   33        311        311          0          0 hltEcalUncalibRecHit
TrigReport     1   34        311        311          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   35        311        311          0          0 hltEcalRecHit
TrigReport     1   36        311        311          0          0 hltEcalPreshowerRecHit
TrigReport     1   37        311        311          0          0 hltRechitInRegionsECAL
TrigReport     1   38        311        311          0          0 hltRechitInRegionsES
TrigReport     1   39        311        311          0          0 hltParticleFlowRecHitECALL1Seeded
TrigReport     1   40        311        311          0          0 hltParticleFlowRecHitPSL1Seeded
TrigReport     1   41        311        311          0          0 hltParticleFlowClusterPSL1Seeded
TrigReport     1   42        311        311          0          0 hltParticleFlowClusterECALUncorrectedL1Seeded
TrigReport     1   43        311        311          0          0 hltParticleFlowClusterECALL1Seeded
TrigReport     1   44        311        311          0          0 hltParticleFlowSuperClusterECALL1Seeded
TrigReport     1   45        311        311          0          0 hltEgammaCandidates
