TrigReport ---------- Event  Summary ------------
TrigReport Events total = 2171 passed = 511 failed = 1660
TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1    0       2171          0       2171          0 HLTriggerFirstPath
TrigReport     1    1       2171        360       1811          0 HLT_DoubleEle5_CaloIdL_MW_v8
TrigReport     1    2       2171        174       1997          0 HLT_DoubleEle33_CaloIdL_MW_v8
TrigReport     1    3       2171        190       1981          0 HLT_DoublePhoton33_CaloIdL_v1
TrigReport     1    4       2171        388       1783          0 HLT_Photon33_v1
TrigReport     1    5       2171        115       2056          0 HLT_Photon50_v7
TrigReport     1    6       2171         24       2147          0 HLT_Photon75_v7
TrigReport     1    7       2171         14       2157          0 HLT_Photon90_v7
TrigReport     1    8       2171          7       2164          0 HLT_Photon120_v7
TrigReport     1    9       2171          5       2166          0 HLT_Photon150_v1
TrigReport     1   10       2171          2       2169          0 HLT_Photon175_v8
TrigReport     1   11       2171          1       2170          0 HLT_Photon200_v8
TrigReport     1   12       2171          0       2171          0 HLT_ECALHT800_v6
TrigReport     1   13       2171          0       2171          0 HLT_CaloJet500_NoJetID_v5
TrigReport     1   14       2171          0       2171          0 HLT_CaloJet550_NoJetID_v1
TrigReport     1   15       2171          0       2171          0 HLT_Photon300_NoHE_v7
TrigReport     1   16       2171          2       2169          0 HLT_DoublePhoton70_v1
TrigReport     1   17       2171          2       2169          0 HLT_DoublePhoton85_v8
TrigReport     1   18       2171        266       1905          0 HLT_DiSC30_18_EIso_AND_HE_Mass70_v6
TrigReport     1   19       2171        296       1875          0 HLT_Ele23_Ele12_CaloIdL_CaloIso_v1
TrigReport     1   20       2171        256       1915          0 HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v9
TrigReport     1   21       2171        258       1913          0 HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v9
TrigReport     1   22       2171        411       1760          0 HLT_Ele27_WPTight_Gsf_NoPM_v1
TrigReport     1   23       2171        348       1823          0 HLT_Ele27_WPTight_Gsf_v7
TrigReport     1   24       2171        311       1860          0 HLT_Ele32_WPTight_Gsf_v1
TrigReport     1   25       2171        287       1884          0 HLT_Ele35_WPTight_Gsf_v1
TrigReport     1   26       2171        259       1912          0 HLT_Ele38_WPTight_Gsf_v1
TrigReport     1   27       2171        269       1902          0 HLT_Ele38_WPTightV2_Gsf_v1
TrigReport     1   28       2171        258       1913          0 HLT_Ele38_WPTight_Gsf_MW_v1
TrigReport     1   29       2171        228       1943          0 HLT_Ele40_WPTight_Gsf_v1
TrigReport     1   30       2171          0       2171          0 HLTriggerFinalPath
TrigReport -------End-Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     0    0       2171       2171          0          0 DQMOutput
TrigReport ---------- Modules in Path: HLTriggerFirstPath ------------
TrigReport  Trig Bit#    Visited     Passed     Failed      Error Name
TrigReport     1    0       2171       2171          0          0 unpackRPC
TrigReport     1    1       2171       2171          0          0 unpackDT
TrigReport     1    2       2171       2171          0          0 unpackCSC
TrigReport     1    3       2171       2171          0          0 unpackEcal
TrigReport     1    4       2171       2171          0          0 unpackHcal
TrigReport     1    5       2171       2171          0          0 simHcalTriggerPrimitiveDigis
TrigReport     1    6       2171       2171          0          0 simCaloStage2Layer1Digis
TrigReport     1    7       2171       2171          0          0 simCaloStage2Digis
TrigReport     1    8       2171       2171          0          0 simDtTriggerPrimitiveDigis
TrigReport     1    9       2171       2171          0          0 simCscTriggerPrimitiveDigis
TrigReport     1   10       2171       2171          0          0 simTwinMuxDigis
TrigReport     1   11       2171       2171          0          0 simBmtfDigis
TrigReport     1   12       2171       2171          0          0 simEmtfDigis
TrigReport     1   13       2171       2171          0          0 simOmtfDigis
TrigReport     1   14       2171       2171          0          0 simGmtCaloSumDigis
TrigReport     1   15       2171       2171          0          0 simGmtStage2Digis
TrigReport     1   16       2171       2171          0          0 simGtExtFakeStage2Digis
TrigReport     1   17       2171       2171          0          0 simGtStage2Digis
TrigReport     1   18       2171       2171          0          0 packCaloStage2
TrigReport     1   19       2171       2171          0          0 packGmtStage2
TrigReport     1   20       2171       2171          0          0 packGtStage2
TrigReport     1   21       2171       2171          0          0 rawDataCollector
TrigReport     1   22       2171       2171          0          0 hltGetConditions
TrigReport     1   23       2171       2171          0          0 hltGetRaw
TrigReport     1   24       2171          0       2171          0 hltBoolFalse
TrigReport ---------- Modules in Path: HLT_DoubleEle5_CaloIdL_MW_v8 ------------
TrigReport  Trig Bit#    Visited     Passed     Failed      Error Name
TrigReport     1    0       2171       2171          0          0 unpackRPC
TrigReport     1    1       2171       2171          0          0 unpackDT
TrigReport     1    2       2171       2171          0          0 unpackCSC
TrigReport     1    3       2171       2171          0          0 unpackEcal
TrigReport     1    4       2171       2171          0          0 unpackHcal
TrigReport     1    5       2171       2171          0          0 simHcalTriggerPrimitiveDigis
TrigReport     1    6       2171       2171          0          0 simCaloStage2Layer1Digis
TrigReport     1    7       2171       2171          0          0 simCaloStage2Digis
TrigReport     1    8       2171       2171          0          0 simDtTriggerPrimitiveDigis
TrigReport     1    9       2171       2171          0          0 simCscTriggerPrimitiveDigis
TrigReport     1   10       2171       2171          0          0 simTwinMuxDigis
TrigReport     1   11       2171       2171          0          0 simBmtfDigis
TrigReport     1   12       2171       2171          0          0 simEmtfDigis
TrigReport     1   13       2171       2171          0          0 simOmtfDigis
TrigReport     1   14       2171       2171          0          0 simGmtCaloSumDigis
TrigReport     1   15       2171       2171          0          0 simGmtStage2Digis
TrigReport     1   16       2171       2171          0          0 simGtExtFakeStage2Digis
TrigReport     1   17       2171       2171          0          0 simGtStage2Digis
TrigReport     1   18       2171       2171          0          0 packCaloStage2
TrigReport     1   19       2171       2171          0          0 packGmtStage2
TrigReport     1   20       2171       2171          0          0 packGtStage2
TrigReport     1   21       2171       2171          0          0 rawDataCollector
TrigReport     1   22       2171       2171          0          0 hltTriggerType
TrigReport     1   23       2171       2171          0          0 hltGtStage2Digis
TrigReport     1   24       2171       2171          0          0 hltGtStage2ObjectMap
TrigReport     1   25       2171       2171          0          0 hltScalersRawToDigi
TrigReport     1   26       2171       2171          0          0 hltOnlineBeamSpot
TrigReport     1   27       2171       1362        809          0 hltL1sSingleEG5WithJetAndTau
TrigReport     1   28       1362       1362          0          0 hltPreDoubleEle5CaloIdLMW
TrigReport     1   29       1362       1362          0          0 hltEcalDigis
TrigReport     1   30       1362       1362          0          0 hltEcalPreshowerDigis
TrigReport     1   31       1362       1362          0          0 hltEcalUncalibRecHit
TrigReport     1   32       1362       1362          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   33       1362       1362          0          0 hltEcalRecHit
TrigReport     1   34       1362       1362          0          0 hltEcalPreshowerRecHit
TrigReport     1   35       1362       1362          0          0 hltRechitInRegionsECAL
TrigReport     1   36       1362       1362          0          0 hltRechitInRegionsES
